更新时间,#genre#
2026-08-14 05:22:17,url
📺央视频道,#genre#
CCTV-1,https://cdn.qd.je/163189/cctv1$订阅源
CCTV-1,http://112.30.73.119:229/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://69.30.245.50/live/cctv1.m3u8$订阅源
CCTV-1,http://218.1.138.153:9003/hls/1/index.m3u8$订阅源
CCTV-1,http://118.193.115.2:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://113.90.154.189:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://182.37.41.46:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://183.185.66.248:9003/hls/1/index.m3u8$订阅源
CCTV-1,http://218.13.138.139:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?$订阅源|IPv6
CCTV-1,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8$订阅源|IPv6
CCTV-1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8$订阅源|IPv6
[HD]CCTV-1,http://218.13.138.139:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$订阅源
[HD]CCTV-1,http://129.211.14.102:27777/api.php?token=c164b1427bac7946a974cccd8909adcd&play=UYShGMEN3bMZke6V1T0MEeU5XVPVGR1t0TjRkNU1XQNdzQygUTnRENE1zYNBka9E$订阅源
[HD]CCTV-1,http://220.192.165.126:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-1,http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8$订阅源
[HD]CCTV-1,http://58.56.162.102:4466/newlive/live/hls/1/live.m3u8$订阅源
[HD]CCTV-1,http://1.190.240.47:9003/hls/3019/index.m3u8$订阅源
[HD]CCTV-1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$订阅源
[HD]CCTV-1,http://219.147.245.238:25480/newlive/live/hls/1/live.m3u8$订阅源
[HD]CCTV-1,http://101.66.199.234:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
