iptv,#genre#
​music,https://amg00223-unisysinfo-yrf-music-hls-sooka-c5xsj.amagi.tv/playlist/amg00223-unisysinfo-yrf-music-hls-sooka/playlist.m3u8
​东方龍视,https://restream.pdtvhd.com/memfs/0b1b95c9-3543-4af9-9fdb-cf45f1602f17.m3u8
​探索中国,https://amg01314-amg01314c8-distrotv-us-10218.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtndiscoveringchina-distrotvus/playlist.m3u8
中国旅行,https://amg01314-amg01314c7-distrotv-us-10219.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtnchinatravel-distrotvus/playlist.m3u8
CH5,https://cdn6.123.rr.kg/163189/ch5
CH8,https://cdn6.123.rr.kg/163189/ch8
CHU,https://cdn6.123.rr.kg/163189/chu
CCTV1,https://cdn16.123.rr.kg/163189/cctv1
CCTV3,https://cdn16.123.rr.kg/163189/cctv3
CCTV4,https://cdn16.123.rr.kg/163189/cctv4
CCTV5,https://cdn16.123.rr.kg/163189/cctv5
CCTV5+,https://cdn16.123.rr.kg/163189/cctv5p
CCTV6,https://cdn16.123.rr.kg/163189/cctv6
CCTV7,https://cdn16.123.rr.kg/163189/cctv7
CCTV8,https://cdn16.123.rr.kg/163189/cctv8
CCTV10,https://cdn16.123.rr.kg/163189/cctv10
CCTV11,https://cdn16.123.rr.kg/163189/cctv11
CCTV12,https://cdn16.123.rr.kg/163189/cctv12
CCTV13,https://cdn16.123.rr.kg/163189/cctv13
CCTV14,https://cdn16.123.rr.kg/163189/cctv14
CCTV15,https://cdn16.123.rr.kg/163189/cctv15
CCTV16,https://cdn16.123.rr.kg/163189/cctv16
CCTV17,https://cdn16.123.rr.kg/163189/cctv17
HOY76,https://cdn11.123.rr.kg/163189/hoy76
HOY77,https://cdn.123.rr.kg/163189/hoy
HOY78,https://cdn.123.rr.kg/163189/hoy78
NOW新闻台,https://cdn.123.rr.kg/163189/now
RTHK-31,https://cdn.123.rr.kg/163189/rthk31
RTHK-32,https://cdn.123.rr.kg/163189/rthk32
VIUTV,https://cdn.123.rr.kg/163189/viu
VIUTV6,http://cdn10.123.rr.kg/163189/viu6/
八度空间,https://cdn6.123.rr.kg/163189/8tv
澳门莲花,https://cdn6.123.rr.kg/163189/amlh
澳门体育,https://cdn6.123.rr.kg/163189/amty
澳门综艺,https://cdn6.123.rr.kg/163189/amzy
澳视澳门,https://cdn6.123.rr.kg/163189/asam
澳视卫星,https://cdn6.123.rr.kg/163189/as
广东珠江,https://cdn.123.rr.kg/163189/gdzj
广东体育,https://cdn.123.rr.kg/163189/gdty
广州南国都市,https://cdn15.123.rr.kg/163189/ngds
广州新闻,https://cdn16.123.rr.kg/163189/gzxw
天映频道,https://cdn10.123.rr.kg/163189/typd/
天映经典,https://cdn10.123.rr.kg/163189/ccm/
家庭影院,https://homeplushls.wns.live/hls/stream.m3u8
​金砖国家电视台,https://chibrics.mediacdn.ru/cdn/brics/chinese/playlist.m3u8
​CGN中文台,https://d3e05csss9c272.cloudfront.net/out/v1/f0bf71c57581470fb9379f603e8f5d83/CGNWebLiveCN.m3u8
​唐,https://live.ntdtv.com/aplive200/playlist.m3u8
​Goodtv,https://live.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
​supreme,https://lbs-us1.suprememastertv.com/origin/720p/chunklist.m3u8
​titv,https://streamipcfapp.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
​caruban,https://stream.carubantv.id/hls/0/stream.m3u8
​davika,https://5bf7b725107e5.streamlock.net/davika/davika/playlist.m3u8
​印尼薹,https://tvstreamcast.com/indonesiana.m3u8
​地铁频道,https://edge.medcom.id/live-edge/smil:metro.smil/chunklist_w1701003368_b414000_sleng.m3u8
​臀音,https://5bf7b725107e5.streamlock.net/mqtv/mqtv/chunklist_w2060436183.m3u8
​rrr,https://private-streaming.rri.go.id/memfs/6f77c7b5-feb2-4935-9f89-e7e9fca0a54a_output_0.m3u8?session=hpQBNPUAAKoX9nDkwRjEZf
​印尼乡村,https://cdn.adyadigitalteknologi.com:8090/vod/relay.m3u8
​印尼国际,https://restreamer.indonusa.id:8443/d5f4ad43-1b5a-4b0f-8bef-5b37224ed221.m3u8
​马来语新闻,https://5bf7b725107e5.streamlock.net/tvtabalong/tvtabalong/chunklist_w1248893735.m3u8
​庹,https://rch01e-alive-hls.akamaized.net/38fb45b25cdb05a1/out/v1/4e907bfabc684a1dae10df8431a84d21/index_5.m3u8
鬼子,https://cdn-7.pishow.tv/live/455/455_4.m3u8
​宝莱坞超清,https://xykt-fix.github.io/cinerama_edge01/hls/BOLLYWOOD_RU/Movie009.m3u8
​尼泊尔,https://live.divyadarshantv.com/hls/0/stream.m3u8
​宝莱坞,https://cc-r5hupcym5oehh.akamaized.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-r5hupcym5oehh/d47d1910-8862-4b83-a8a6-00ac11307859/0.m3u8
​大鹅影院,https://live.15plusmg.ru/memfs/b389173a-df4e-4171-8904-e249893e71eb_output_0.m3u8?session=Tray8PPwrCpSkV4jzvSLBo
​咖喱,https://tvtoday.rpmc.com.np/hls/bipashatech/1_2/index.m3u8
